Year,NOC,NOC_aka,Rank,Gold,Silver,Bronze,Total
1951,Japan,Japan,1,24,21,15,60
1951,India,India,2,15,16,20,51
1951,Iran,Iran,3,8,6,2,16
1951,Singapore,Singapore,4,5,7,2,14
1951,Philippines,Philippines,5,5,6,8,19
1951,Ceylon,Sri Lanka,6,0,1,0,1
1951,Indonesia,Indonesia,7,0,0,5,5
1951,Burma,Myanmar,8,0,0,3,3
1954,Japan,Japan,1,38,36,24,98
1954,Philippines,Philippines,2,14,14,17,45
1954,South Korea,South Korea,3,8,6,5,19
1954,Pakistan,Pakistan,4,5,6,2,13
1954,India,India,5,5,4,8,17
1954,Republic of China,China,6,2,4,7,13
1954,Israel,Israel,7,2,1,1,4
1954,Burma,Myanmar,8,2,0,2,4
1954,Singapore,Singapore,9,1,4,4,9
1954,Ceylon,Sri Lanka,10,0,1,1,2
1954,Afghanistan,Afghanistan,11,0,1,0,1
1954,Indonesia,Indonesia,12,0,0,3,3
1954,Hong Kong,Hong Kong,13,0,0,1,1
1958,Japan,Japan,1,67,41,30,138
1958,Philippines,Philippines,2,8,19,21,48
1958,South Korea,South Korea,3,8,7,12,27
1958,Iran,Iran,4,7,14,11,32
1958,Republic of China,China,5,6,11,17,34
1958,Pakistan,Pakistan,6,6,11,9,26
1958,India,India,7,5,4,4,13
1958,South Vietnam,Vietnam,8,2,0,4,6
1958,Burma,Myanmar,9,1,2,1,4
1958,Singapore,Singapore,10,1,1,1,3
1958,Ceylon,Sri Lanka,11,1,0,1,2
1958,Thailand,Thailand,12,0,1,3,4
1958,Hong Kong,Hong Kong,13,0,1,1,2
1958,Indonesia,Indonesia,14,0,0,6,6
1958,Malaya,Malaysia,15,0,0,3,3
1958,Israel,Israel,16,0,0,2,2
1962,Japan,Japan,1,73,56,23,152
1962,Indonesia,Indonesia,2,11,12,28,51
1962,India,India,3,10,13,10,33
1962,Pakistan,Pakistan,4,8,11,9,28
1962,Philippines,Philippines,5,7,6,24,37
1962,South Korea,South Korea,6,4,9,10,23
1962,Thailand,Thailand,7,2,6,4,12
1962,Malaya,Malaysia,8,2,4,9,15
1962,Burma,Myanmar,9,2,1,5,8
1962,Singapore,Singapore,10,1,0,2,3
1962,Ceylon,Sri Lanka,11,0,2,3,5
1962,Hong Kong,Hong Kong,12,0,2,0,2
1962,Afghanistan,Afghanistan,13,0,0,1,1
1962,Cambodia,Cambodia,13,0,1,1,1
1962,South Vietnam,Vietnam,13,0,1,1,1
1966,Japan,Japan,1,78,53,33,164
1966,South Korea,South Korea,2,12,18,21,51
1966,Thailand,Thailand,3,12,14,11,37
1966,Malaysia,Malaysia,4,7,5,6,18
1966,India,India,5,7,3,11,21
1966,Iran,Iran,6,6,8,17,31
1966,Indonesia,Indonesia,7,5,5,12,22
1966,Republic of China,China,8,5,4,10,19
1966,Israel,Israel,9,3,5,3,11
1966,Philippines,Philippines,10,2,15,25,42
1966,Pakistan,Pakistan,11,2,4,2,8
1966,Burma,Myanmar,12,1,0,4,5
1966,Singapore,Singapore,13,0,5,7,12
1966,South Vietnam,Vietnam,14,0,1,1,2
1966,Ceylon,Sri Lanka,15,0,0,6,6
1966,Hong Kong,Hong Kong,16,0,0,1,1
1970,Japan,Japan,1,74,47,23,144
1970,South Korea,South Korea,2,18,13,23,54
1970,Thailand,Thailand,3,9,17,13,39
1970,Iran,Iran,4,9,7,7,23
1970,India,India,5,6,9,10,25
1970,Israel,Israel,6,6,6,5,17
1970,Malaysia,Malaysia,7,5,1,7,13
1970,Burma,Myanmar,8,3,2,7,12
1970,Indonesia,Indonesia,9,2,5,13,20
1970,Ceylon,Sri Lanka,10,2,2,0,4
1970,Philippines,Philippines,11,1,9,12,22
1970,Republic of China,China,12,1,5,12,18
1970,Pakistan,Pakistan,13,1,2,7,10
1970,Singapore,Singapore,14,0,6,9,15
1970,Khmer Republic,Cambodia,15,0,2,3,5
1970,South Vietnam,Vietnam,16,0,0,2,2
1974,Japan,Japan,1,75,49,51,175
1974,Iran,Iran,2,36,28,17,81
1974,China,China,3,33,46,27,106
1974,South Korea,South Korea,4,16,26,15,57
1974,North Korea,North Korea,5,15,14,17,46
1974,Israel,Israel,6,7,4,8,19
1974,India,India,7,4,12,12,28
1974,Thailand,Thailand,8,4,2,8,14
1974,Indonesia,Indonesia,9,3,4,4,11
1974,Mongolia,Mongolia,10,2,5,8,15
1974,Pakistan,Pakistan,11,2,0,9,11
1974,Sri Lanka,Sri Lanka,12,2,0,0,2
1974,Singapore,Singapore,13,1,3,7,11
1974,Burma,Myanmar,14,1,2,3,6
1974,Iraq,Iraq,15,1,0,5,6
1974,Philippines,Philippines,16,0,2,12,14
1974,Malaysia,Malaysia,17,0,1,4,5
1974,Kuwait,Kuwait,18,0,1,0,1
1974,Afghanistan,Afghanistan,19,0,0,1,1
1978,Japan,Japan,1,70,59,49,178
1978,China,China,2,51,54,46,151
1978,South Korea,South Korea,3,18,20,31,69
1978,North Korea,North Korea,4,15,13,15,43
1978,Thailand,Thailand,5,11,12,19,42
1978,India,India,6,11,11,6,28
1978,Indonesia,Indonesia,7,8,7,18,33
1978,Pakistan,Pakistan,8,4,4,9,17
1978,Philippines,Philippines,9,4,4,6,14
1978,Iraq,Iraq,10,2,4,6,12
1978,Singapore,Singapore,11,2,1,4,7
1978,Malaysia,Malaysia,12,2,1,3,6
1978,Mongolia,Mongolia,13,1,3,5,9
1978,Lebanon,Lebanon,14,1,1,0,2
1978,Syria,Syria,15,1,0,0,1
1978,Burma,Myanmar,16,0,3,3,6
1978,Hong Kong,Hong Kong,17,0,2,3,5
1978,Sri Lanka,Sri Lanka,18,0,0,2,2
